lsoa11name,WIMD ,Income ,Employment ,Health ,Education ,Access to Services ,Community Safety ,Physical Environment ,Housing 
Cantref 1 ,5,5,4,5,5,3,5,2,5
Llanelly Hill 1 ,5,5,5,4,5,4,5,4,5
Dixton with Osbaston ,5,5,5,5,5,3,5,2,5
Beechwood 3 ,1,1,1,2,1,2,2,2,4
Ringland 1 ,1,1,3,2,1,3,1,1,4
Ringland 2 ,1,1,1,2,1,2,1,1,4
Ringland 4 ,1,1,1,1,1,2,1,1,3
Ringland 5 ,1,1,1,1,1,1,2,1,2
Ringland 6 ,1,1,1,2,1,3,1,2,3
Malpas 2 ,1,1,1,1,1,2,1,3,4
Bettws (Newport) 1 ,1,1,1,1,1,2,1,3,4
Bettws (Newport) 2 ,1,1,1,1,1,2,1,2,4
Bettws (Newport) 3 ,1,1,1,1,1,2,1,2,4
Bettws (Newport) 4 ,1,2,2,1,1,2,1,2,3
Bettws (Newport) 5 ,1,1,1,1,1,2,1,4,4
Allt-yr-yn 2 ,1,1,1,1,2,1,1,1,1
Shaftesbury 1 ,1,1,1,1,2,2,1,1,1
Stow Hill 1 ,1,1,2,2,3,2,1,1,1
Stow Hill 3 ,1,1,1,2,1,3,1,1,1
Pillgwenlly 1 ,1,1,1,1,1,2,1,1,1
Pillgwenlly 2 ,1,1,2,1,1,2,1,1,1
Pillgwenlly 3 ,1,1,1,1,1,1,1,1,1
Pillgwenlly 4 ,1,1,1,1,1,2,1,2,1
St. Julians 2 ,1,2,2,3,1,3,1,1,1
Victoria 2 ,1,1,1,1,2,3,1,1,1
Victoria 3 ,1,1,2,1,1,3,1,1,1
Liswerry 1 ,1,2,2,3,1,3,1,1,1
Liswerry 2 ,1,1,2,1,2,2,1,1,1
Victoria 1 ,1,2,2,2,1,4,1,1,1
Victoria 4 ,1,1,1,1,1,2,1,1,1
Alway 2 ,1,1,1,1,1,3,1,1,1
Alway 4 ,1,1,1,1,1,3,1,1,3
Liswerry 5 ,1,1,2,1,1,2,1,1,2
Gaer 2 ,1,1,1,1,2,2,2,3,5
Gaer 5 ,1,1,2,1,1,2,1,2,3
Tredegar Park 2 ,1,1,1,1,1,1,1,1,4
Caerleon 6 ,2,1,1,2,3,3,2,2,5
Llanwern 2 ,2,2,3,2,2,4,3,3,4
St. Julians 4 ,2,2,1,3,2,3,1,1,4
Ringland 3 ,2,2,3,2,2,4,2,1,3
Bettws (Newport) 6 ,2,3,2,1,2,3,1,3,4
Shaftesbury 2 ,2,2,2,2,2,2,3,1,4
Allt-yr-yn 6 ,2,2,2,2,4,4,2,1,1
Alway 5 ,2,1,3,2,1,4,1,1,3
Liswerry 4 ,2,2,3,3,2,4,2,1,1
Liswerry 6 ,2,3,3,4,3,1,1,1,3
Liswerry 7 ,2,3,3,3,2,5,1,1,4
Gaer 4 ,2,2,2,2,2,2,1,2,4
Gaer 6 ,2,2,2,2,2,2,1,1,2
Tredegar Park 1 ,2,2,3,3,2,4,1,1,5
Llanwern 1 ,3,4,3,4,3,1,1,1,4
Beechwood 4 ,3,3,3,3,2,4,1,1,3
Shaftesbury 3 ,3,3,4,4,3,4,2,1,2
Shaftesbury 4 ,3,3,4,4,2,3,3,1,1
Allt-yr-yn 4 ,3,3,2,3,5,4,1,1,2
Stow Hill 2 ,3,2,3,2,4,5,1,2,2
St. Julians 1 ,3,3,3,3,3,5,2,1,1
St. Julians 6 ,3,3,4,3,3,5,2,1,2
Alway 6 ,3,2,3,4,3,5,2,1,1
Beechwood 1 ,3,3,3,3,3,5,2,1,1
Beechwood 2 ,3,3,4,3,4,5,3,1,1
Liswerry 3 ,3,3,4,3,2,4,1,1,1
Rogerstone 6 ,3,3,3,3,3,5,3,2,4
Rogerstone 3 ,3,2,2,2,3,4,3,1,5
Gaer 1 ,3,3,3,4,3,3,2,2,5
Marshfield 4 ,3,5,4,3,5,1,2,1,5
Caerleon 1 ,4,4,4,4,5,5,2,1,3
Caerleon 3 ,4,4,4,5,5,4,1,1,4
Caerleon 4 ,4,4,3,4,4,5,2,2,5
Beechwood 5 ,4,4,4,4,4,4,3,1,3
Alway 1 ,4,5,4,4,3,5,3,1,5
Alway 3 ,4,4,4,4,4,5,3,1,3
Malpas 4 ,4,4,4,4,4,5,4,2,3
St. Julians 3 ,4,4,5,4,3,5,2,1,3
St. Julians 5 ,4,4,4,4,4,5,1,1,3
Rogerstone 4 ,4,3,4,3,4,4,3,1,4
Graig (Newport) 3 ,4,4,5,4,4,4,3,1,3
Gaer 3 ,4,4,4,3,3,5,4,2,5
Marshfield 3 ,4,4,4,4,5,4,3,1,5
Caerleon 2 ,5,5,5,5,5,5,4,1,5
Caerleon 5 ,5,5,5,5,5,5,4,1,5
Langstone 1 ,5,5,5,5,5,4,3,1,5
Langstone 2 ,5,5,5,5,5,1,4,2,5
Langstone 3 ,5,5,5,5,5,2,4,2,5
Malpas 1 ,5,5,5,5,4,4,4,1,5
Malpas 3 ,5,5,5,5,4,4,3,1,5
Malpas 5 ,5,5,5,4,4,5,3,2,5
Allt-yr-yn 1 ,5,5,5,5,5,4,3,2,5
Allt-yr-yn 3 ,5,5,5,5,5,5,5,2,4
Allt-yr-yn 5 ,5,5,4,5,5,5,3,1,4
Rogerstone 1 ,5,5,5,5,5,4,5,3,5
Rogerstone 2 ,5,5,5,5,5,5,4,1,5
Rogerstone 5 ,5,5,5,5,5,5,5,2,5
Graig (Newport) 1 ,5,5,4,4,5,4,3,2,5
Graig (Newport) 4 ,5,5,5,5,5,5,4,3,5
Graig (Newport) 2 ,5,5,5,5,5,4,3,1,5
Marshfield 2 ,5,5,5,5,5,2,2,1,5
Marshfield 5 ,5,5,5,5,4,4,2,1,5
